code_commune,nom_commune,code_departement,annee,scenario_nombre_votants,modele_nombre_votants,prediction_nombre_votants_2032,scenario_taux_participation,modele_taux_participation,prediction_taux_participation_2032
01135,CROZET,01,2032,covid_pondere,Random forest,844.3,covid_pondere,Random forest,65.81
01136,CRUZILLES-LÈS-MÉPILLAT,01,2032,covid_pondere,Random forest,332.56,covid_pondere,Random forest,42.07
01138,CULOZ-BÉON,01,2032,covid_pondere,Random forest,1457.04,covid_pondere,Random forest,61.59
01139,CURCIAT-DONGALON,01,2032,covid_pondere,Random forest,166.4,covid_pondere,Random forest,47.3
01140,CURTAFOND,01,2032,covid_pondere,Random forest,396.29,covid_pondere,Random forest,71.17
01141,CUZIEU,01,2032,covid_pondere,Random forest,262.28,covid_pondere,Random forest,69.6
01142,DAGNEUX,01,2032,covid_pondere,Random forest,2091.64,covid_pondere,Random forest,74.73
01143,DIVONNE-LES-BAINS,01,2032,covid_pondere,Random forest,4458.86,covid_pondere,Random forest,78.86
01145,DOMPIERRE-SUR-VEYLE,01,2032,covid_pondere,Random forest,516.38,covid_pondere,Random forest,53.42
01146,DOMPIERRE-SUR-CHALARONNE,01,2032,covid_pondere,Random forest,223.67,covid_pondere,Random forest,70.23
01147,DOMSURE,01,2032,covid_pondere,Random forest,207.15,covid_pondere,Random forest,40.64
01148,DORTAN,01,2032,covid_pondere,Random forest,991.16,covid_pondere,Random forest,77.38
01149,DOUVRES,01,2032,covid_pondere,Random forest,706.93,covid_pondere,Random forest,80.31
01150,DROM,01,2032,covid_pondere,Random forest,105.84,covid_pondere,Random forest,54.73
01151,DRUILLAT,01,2032,covid_pondere,Random forest,513.63,covid_pondere,Random forest,58.05
01152,ECHALLON,01,2032,covid_pondere,Random forest,333.52,covid_pondere,Random forest,50.44
01153,ECHENEVEX,01,2032,covid_pondere,Random forest,959.2,covid_pondere,Random forest,67.12
01155,EVOSGES,01,2032,covid_pondere,Random forest,83.2,covid_pondere,Random forest,65.49
01156,FARAMANS,01,2032,covid_pondere,Random forest,473.54,covid_pondere,Random forest,67.72
01157,FAREINS,01,2032,covid_pondere,Random forest,1086.89,covid_pondere,Random forest,57.3
01158,FARGES,01,2032,covid_pondere,Random forest,331.06,covid_pondere,Random forest,47.1
01159,FEILLENS,01,2032,covid_pondere,Random forest,1753.51,covid_pondere,Random forest,65.57
01160,FERNEY-VOLTAIRE,01,2032,covid_pondere,Random forest,2344.46,covid_pondere,Random forest,49.58
01162,FLAXIEU,01,2032,covid_pondere,Random forest,61.12,covid_pondere,Random forest,64.49
01163,FOISSIAT,01,2032,covid_pondere,Random forest,1070.34,covid_pondere,Random forest,67.76
01165,FRANCHELEINS,01,2032,covid_pondere,Random forest,725.89,covid_pondere,Random forest,63.42
01166,FRANS,01,2032,covid_pondere,Random forest,1098.79,covid_pondere,Random forest,57.8
01167,GARNERANS,01,2032,covid_pondere,Random forest,360.66,covid_pondere,Random forest,60.65
01169,GENOUILLEUX,01,2032,covid_pondere,Random forest,340.97,covid_pondere,Random forest,64.43
01170,BÉARD-GÉOVREISSIAT,01,2032,covid_pondere,Random forest,429.57,covid_pondere,Random forest,58.88
01171,GÉOVREISSET,01,2032,covid_pondere,Random forest,353.3,covid_pondere,Random forest,66.28
01173,GEX,01,2032,covid_pondere,Random forest,3380.79,covid_pondere,Random forest,46.59
01174,GIRON,01,2032,covid_pondere,Random forest,83.63,covid_pondere,Random forest,66.67
01175,GORREVOD,01,2032,covid_pondere,Random forest,531.06,covid_pondere,Random forest,81.39
