code_commune,annee,population,taux_chomage,revenu_median,taux_criminalite
01436,2026,481.0,4.0590405904059,38190.0,0.0
01437,2026,223.0,11.0,19970.0,0.0
01439,2026,99.0,9.09090909090909,21550.0,0.0
01441,2026,734.0,6.48104971099403,22920.0,0.0
01443,2026,4978.0,6.69498217902396,23010.0,5.0267
01444,2026,1196.0,9.88699395403783,21310.0,3.9386
01445,2026,615.0,5.8853062789226,21740.0,0.0
01446,2026,1548.0,4.12072587406502,24550.0,3.7817
01447,2026,1342.0,7.78881789606339,21570.0,0.9859
01448,2026,389.0,7.04833257109473,30310.0,0.0
01449,2026,759.0,5.91397849462366,25300.0,0.0
01450,2026,3717.0,5.72779821334735,25610.0,3.5023
01451,2026,6595.0,7.26279685867542,24190.0,4.7874
01452,2026,1132.0,14.2145103044449,19830.0,1.9802
01453,2026,710.0,6.68604651162791,22120.0,0.0
01454,2026,1112.0,7.8199213622085,21930.0,2.1853
01456,2026,71.0,6.45161290322581,21550.0,0.0
01457,2026,3181.0,8.32214765100671,20780.0,3.2104
02001,2026,502.0,12.4672065602494,20190.0,0.0
02002,2026,610.0,11.9718309859155,19990.0,0.0
02003,2026,1021.0,10.7569721115538,22210.0,0.0
02004,2026,182.0,18.3908045977011,19760.0,0.0
02005,2026,380.0,7.97727493374328,23250.0,0.0
02006,2026,262.0,13.983431955365,22080.0,0.0
02007,2026,122.0,10.1694915254237,22630.0,0.0
02008,2026,294.0,13.2911392405063,20180.0,0.0
02009,2026,534.0,11.8866578497586,21250.0,0.0
02010,2026,173.0,14.4444444444445,21600.0,0.0
02011,2026,1138.0,9.30232558139535,22820.0,0.0
02012,2026,71.0,9.30232558139535,21550.0,0.0
02013,2026,386.0,8.56714161355977,21080.0,0.0
02014,2026,729.0,11.7144778729919,21950.0,0.0
02015,2026,72.0,7.89473684210526,21550.0,0.0
02016,2026,216.0,12.5,20110.0,0.0
02017,2026,323.0,15.4929577464789,21210.0,0.0
02018,2026,2574.0,14.9879791904094,19860.0,3.3518
02019,2026,362.0,11.7647058823529,19510.0,0.0
