code_commune;annee_source;nombre_faits;taux_criminalite;nb_indicateurs
67302;2025;43.0;4.3108;5
67303;2025;0.0;0.0;8
67304;2025;0.0;0.0;6
67305;2025;15.0;0.8595;9
67306;2025;0.0;0.0;7
67307;2025;0.0;0.0;10
67308;2025;0.0;0.0;7
67309;2025;248.0;4.959;10
67310;2025;0.0;0.0;5
67311;2025;29.0;2.1106;6
67312;2025;0.0;0.0;10
67313;2025;185.0;4.3418;7
67314;2025;0.0;0.0;9
67315;2025;0.0;0.0;4
67317;2025;0.0;0.0;8
67319;2025;0.0;0.0;8
67320;2025;0.0;0.0;3
67321;2025;0.0;0.0;8
67322;2025;0.0;0.0;4
67324;2025;113.0;3.7136;7
67325;2025;20.0;2.4102;6
67326;2025;33.0;4.4523;6
67327;2025;0.0;0.0;7
67328;2025;5.0;0.9127;6
