code_commune;revenu_median;taux_pauvrete;nb_menages;nb_personnes
16236;22710;;1028;2359
16237;20880;;101;216
16239;20500;;63;122
16241;23000;;94;203
16242;19090;;619;1266
16243;23030;;474;1079
16244;20640;13;1089;2339
16245;19130;;411;908
16246;20380;;118;269
16248;20170;;85;162
16249;15050;;127;265
16250;18700;;105;224
16251;18720;;101;259
16252;22930;;71;151
16253;18520;;155;325
16254;17670;;113;223
16255;18140;;74;128
16256;18780;;104;227
16258;20010;;215;498
16260;19340;;113;248
16261;20790;;215;485
16263;22350;;158;381
16264;17980;;154;318
16268;19840;;101;200
16269;22210;;397;910
16270;18640;;172;326
16271;26420;;1059;2425
16272;21660;;239;537
16273;18980;;65;149
16275;19480;;74;161
16276;21320;;317;719
16277;23210;;251;607
16279;22020;;111;222
16280;21250;;760;1772
16281;19870;15;2025;3908
16282;20950;;232;524
16283;21490;;249;571
16284;19940;;53;108
16285;19860;;193;389
16286;20050;15;1268;2703
16287;22140;6;1868;4429
16289;16640;;147;286
16290;19960;;117;234
16291;21570;11;3503;7289
16292;18710;23;1663;3066
16293;20930;;208;469
16295;20810;;545;1261
16297;23710;;156;317
16298;22170;;164;353
16300;20420;;544;1243
16301;22000;;100;229
16302;19370;;92;216
16303;22570;;157;393
16304;27800;;472;1021
16306;18610;;148;307
16307;20380;;133;326
16308;18310;;471;956
16310;17840;;92;208
16312;21100;;338;788
16315;20520;;56;100
16316;21860;;175;394
16317;19450;;199;397
16318;19920;;130;291
16320;22860;;370;846
16323;19680;;213;451
16325;18060;;65;128
16326;20290;;67;146
16329;19140;;341;697
16330;23440;;374;871
16334;18030;;66;134
16335;19930;;67;129
16336;21020;;149;343
16337;19280;;409;901
16338;19970;;124;305
16339;20230;;344;762
16340;20860;;463;1071
16341;20450;13;1474;2851
16342;23140;;117;292
16343;23110;;122;277
16345;17630;;92;199
16346;20080;;98;230
16347;18640;;222;485
16348;23720;;550;1342
16349;22590;;218;504
16350;18660;;362;699
16351;22190;;240;566
16352;21190;;110;240
16353;20330;;351;776
16354;17360;;50;109
16355;22050;;514;1219
16357;17590;;59;118
16358;23420;11;3306;7501
16359;22710;;427;977
16360;22200;;173;396
16361;19920;;140;315
16362;20230;;140;315
16363;18570;;221;478
16366;21600;13;923;2040
16368;21940;;366;906
16369;22890;;419;934
16370;22780;;507;1187
16372;21170;;66;130
16373;19180;;95;194
16374;18030;29;4401;9618
16375;19670;;159;365
16377;19750;;48;110
16378;21170;;259;608
